OBJECTID;Join_Count;TARGET_FID;LINK_ID;POI_ID;SEQ_NUM;FAC_TYPE;POI_NAME;POI_LANGCD;POI_NMTYPE;POI_ST_NUM;ST_NUM_FUL;ST_NFUL_LC;ST_NAME;ST_LANGCD;POI_ST_SD;ACC_TYPE;PH_NUMBER;CHAIN_ID;NAT_IMPORT;PRIVATE;IN_VICIN;NUM_PARENT;NUM_CHILD;PERCFRREF;VANCITY_ID;ACT_ADDR;ACT_LANGCD;ACT_ST_NAM;ACT_ST_NUM;ACT_ADMIN;ACT_POSTAL;AIRPT_TYPE;POLYGON_NM;FED_OKR;BUFF_DIST;ORIG_FID;name_1;all_scales;X;Y
14;1;1132;852836074.0;1058533489.0;1;4100;МЕТРО-МОСКОВСКАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;L; ; ;0.0;N;N;N;0;1;80;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Московская;0;50.160250000329675;53.2028499999072
15;1;1133;852711944.0;1058533488.0;1;4100;МЕТРО-МОСКОВСКАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;R; ; ;0.0;N;N;N;1;0;80;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Московская;1;50.16046000039197;53.202959999774805
16;1;1179;1166918860.0;1058451568.0;1;4100;МЕТРО-БЕЗЫМЯНКА;RUS;B; ; ; ;УЛИЦА ПОБЕДЫ;RUS;R; ; ;0.0;N;N;N;1;0;17;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Безымянка;0;50.24923000041247;53.21305000016585
17;1;1193;943336785.0;1010187104.0;1;4100;МЕТРО-ЮНГОРОДОК;RUS;B; ; ; ;УЛИЦА БОЯРОВА;RUS;L; ; ;0.0;N;N;N;0;0;10;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Юнгородок;1;50.28384999977229;53.21264999937847
18;1;1200;852895264.0;1058570378.0;1;4100;МЕТРО-ПОБЕДА;RUS;B; ; ; ;УЛИЦА 22-ГО ПАРТСЪЕЗДА;RUS;L; ; ;0.0;N;N;N;1;0;99;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Победа;0;50.23449000036119;53.20701000035199
19;1;1201;1155674884.0;1058428196.0;1;4100;МЕТРО-РОССИЙСКАЯ;RUS;B; ; ; ; ; ;R; ; ;0.0;N;N;N;1;0;34;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Российская;0;50.148459999399485;53.21190999958879
20;1;1308;967055048.0;1058559697.0;1;4100;МЕТРО-СПОРТИВНАЯ;RUS;B; ; ; ;УЛИЦА ГАГАРИНА;RUS;R; ; ;0.0;N;N;N;1;0;8;0.0; ; ; ; ; ; ; ;САМАРСКАЯ ОБЛАСТЬ;ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;63;Спортивная;0;50.19987000010303;53.200850000679466
21;1;3564;973066434.0;1105686869.0;1;4100;МЕТРО-ПРОФСОЮЗНАЯ;RUS;B; ; ; ;РАБОЧЕ-КРЕСТЬЯНСКАЯ УЛИЦА;RUS;R; ; ;0.0;N;N;N;1;0;2;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;Профсоюзная;0;44.49992999967373;48.697080000145945
22;1;3565;973066434.0;1105686868.0;1;4100;МЕТРО-ПРОФСОЮЗНАЯ;RUS;B; ; ; ;РАБОЧЕ-КРЕСТЬЯНСКАЯ УЛИЦА;RUS;L; ; ;0.0;N;N;N;0;1;2;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;Профсоюзная;1;44.49990999958226;48.697119999967505
23;1;3566;972281204.0;1105686870.0;1;4100;МЕТРО-ТЮЗ;RUS;B; ; ; ;РАБОЧЕ-КРЕСТЬЯНСКАЯ УЛИЦА;RUS;L; ; ;0.0;N;N;N;1;0;49;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;ТЮЗ;0;44.488880000331896;48.690430000366675
24;1;3567;972281204.0;1105686871.0;1;4100;МЕТРО-ТЮЗ;RUS;B; ; ; ;РАБОЧЕ-КРЕСТЬЯНСКАЯ УЛИЦА;RUS;R; ; ;0.0;N;N;N;0;1;49;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;ТЮЗ;1;44.48890000042337;48.690389999973654
25;1;3568;1136617034.0;1105686872.0;1;4100;МЕТРО-ЕЛЬШАНКА;RUS;B; ; ; ;УЛИЦА ЛЬВА ТОЛСТОГО;RUS;L; ; ;0.0;N;N;N;0;0;32;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;Ельшанка;1;44.472540000148314;48.6806000000201
26;1;3699;918686232.0;1100630478.0;1;4100;МЕТРО-ПЛОЩАДЬ ЛЕНИНА;RUS;B; ; ; ;ПРОСПЕКТ ЛЕНИНА;RUS;L; ; ;0.0;N;N;N;1;0;60;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;Площадь Ленина;0;44.53011000028335;48.71765000010019
27;1;3700;971656521.0;1100630479.0;1;4100;МЕТРО-ПЛОЩАДЬ ЛЕНИНА;RUS;B; ; ; ;ПРОСПЕКТ ЛЕНИНА;RUS;R; ; ;0.0;N;N;N;0;1;81;0.0; ; ; ; ; ; ; ;ВОЛГОГРАДСКАЯ ОБЛАСТЬ;ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ;5000.0;8;Площадь Ленина;1;44.53038999976751;48.717569999865724
